OBJECTID,zipcode,SQMI,x,y,Pct_EV,Cport_den,Sex_ratio,Pct_30_60,Pct_60,Pct_white,Pct_white_fixed,Pct_bachelor,Med_incm_family,Ln_pop_den,Pking_den,Num_veh_hd,Num_wk_hd,Road_den,EVCS_den,CS_cnt_22,CS_pt_22,FS_cnt,FuelVeh_Cnt,num_EV22_12,Pking_sum,len_cnt,len_mile,num_bachelor,Pop_22
327,60653,2.43091,-87.61019475,41.81952273,7.345360825,0.822737164,72.4,37.5,22.1,6.86,6.86,26.03596787,65636,9.556499,4.127672,0.8461,0.7322,21.087525,0.411369,1,2,2,1438,114,0.10033957,338,39.848371,8947,34364
328,60654,0.625065,-87.63776137,41.89261439,33.78212974,73.5923464,103.1,50.8,10.6,72.52,72.52,83.82108626,250000,10.533591,5.739367,0.654,1.2197,19.765996,12.798669,8,46,2,541,276,0.03587678,207,8.26916,19677,23475
329,60655,3.84918,-87.70118672,41.69638708,1.649405447,0.259795593,100.5,41.3,21.8,85.87,85.87,32.77857143,147652,8.8921,2.004528,1.7239,1.2229,23.751835,0.259796,1,1,3,2564,43,0.07715828,441,66.203727,9178,28000
330,60656,3.591668,-87.82806954,41.97195114,4.55311973,0,107.3,43.3,24.4,73.81,73.81,32.03221385,102250,9.002622,2.441735,1.6016,1.1855,20.740323,0,0,0,2,1698,81,0.08769978,391,53.717463,9347,29180
331,60657,2.229955,-87.65698183,41.93967609,24.31941924,16.14382353,105.2,40.5,12.3,80.83,80.83,73.72036184,212156,10.371154,2.417679,0.7682,1.2568,25.022473,5.829714,13,36,5,1668,536,0.05391424,401,47.064936,52483,71192
332,60659,2.758823,-87.70203289,41.98972288,4.993429698,0,97.2,38.7,19.3,45.09,45.09,26.37197626,74542,9.645298,2.341146,1.4221,1.2618,19.023747,0,0,0,5,1446,76,0.06458754,375,42.846538,11240,42621
333,60660,1.253893,-87.66546701,41.99107348,14.23390752,1.595032431,103,43.3,19.9,53.87,53.87,43.16587015,89852,10.440257,2.987602,0.8198,1.1146,24.239628,0.797516,1,2,5,946,157,0.03746154,275,26.186616,18516,42895
334,60661,0.332499,-87.64356404,41.88279756,26.04340568,51.12797332,108.8,58.6,3.4,62.53,62.53,83.7748632,199688,10.452351,9.336478,0.6615,1.2921,29.812213,27.067751,9,17,0,443,156,0.03104379,174,7.149637,9645,11513
335,60666,7.502059,-87.90236647,41.9799694,0.004679238,4.798682602,98.99788035,39.68757872,22.16264895,61.21552961,66.35516403,30.42012001,119097,0,4.62188,1.70844094,1.228607112,1.021593,1.332967,10,36,2,21370,1,0.34673808,37,3.521211,8712.383872,28640.20217
336,60706,3.095518,-87.81700421,41.96392468,6.393678161,0.32304771,97.7,41.7,28.7,80.1,80.1,22.66743697,102578,8.965515,2.734704,1.6835,1.1978,22.737206,0.323048,1,1,9,1303,89,0.08465276,458,53.220046,5493,24233
337,60707,3.818924,-87.80798327,41.92171512,4.032258065,1.04741545,90.7,42.6,22.4,61.73,61.73,24.06659322,99083,9.277571,2.593291,1.6092,1.2168,24.591751,0.785562,3,4,5,2380,100,0.09903518,422,72.17906,9830,40845
338,60712,2.6845,-87.73341268,42.005363,23.63213038,1.490035388,96,34.1,33.8,67.26,67.26,42.21435032,112446,8.505616,2.81523,1.785,1.0475,26.793433,0.372509,1,4,7,656,203,0.07557486,453,52.318282,5601,13268
339,60714,6.724578,-87.80996306,42.02720692,6.937095826,1.487082163,97.9,39,31.9,66.36,66.36,32.09968565,96609,8.43135,4.003823,1.7154,1.1595,16.782285,0.892249,6,10,10,1583,118,0.26924106,901,88.233308,9905,30857
340,60803,8.527024,-87.73453065,41.67302762,1.73025732,0.469096838,97.5,39.9,23.5,61.9,61.9,14.97882692,96429,7.864517,2.47455,1.6851,1.12,11.318407,0.117274,1,4,6,2215,39,0.2110049,604,79.691512,3325,22198
341,60804,6.410569,-87.75867343,41.8426711,0.975063939,0.311984786,97.3,39.4,14.8,24.5,24.5,7.518796992,69785,9.482872,2.02765,1.734,1.4456,16.7517,0.155992,1,2,15,6195,61,0.1299845,590,100.097433,6330,84189
342,60805,3.546499,-87.70182222,41.72236017,2.615470228,3.947555039,91.3,40,22.2,62.43,62.43,29.41206285,111882,8.623935,2.253289,1.8482,1.2478,21.410023,0.563936,2,14,8,1750,47,0.07991289,402,63.584343,5803,19730
343,60827,7.235392,-87.6302166,41.65024975,0.623330365,0,78.3,34.8,15.8,3.68,3.68,8.301354844,45079,8.168938,0.864014,1.1742,0.8339,11.657823,0,0,0,3,2232,14,0.06251488,532,70.4752,2120,25538
