zipcode,Pct_EV_17,Pct_EV_18,Pct_EV_19,Pct_EV_20,Pct_EV_21,Pct_EV_22
60053,2.179379715,3.677058353,4.761904762,6.275303644,10.11699931,15.53333333
60056,0.709438618,1.361752516,2.172653534,2.715978041,4.615384615,7.358436332
60060,0.976342471,1.803394625,2.849656076,3.738317757,4.964075767,7.60346487
60061,2.812295618,4.608585859,6.955460647,9.236453202,13.99380805,21.46226415
60062,4.011030333,6.213394449,8.735167887,11.24352332,16.41668939,23.2203835
60064,0.425531915,0.693069307,0.631199279,0.509770603,0.632411067,0.745712155
60067,2.404580153,3.723594701,5.616389968,7.213578501,10.47272727,16.78883072
60068,2.444253859,3.589315526,5.108295872,6.795335746,10.06987259,15.28991263
60069,4.154302671,6.03085554,10.23316062,11.87096774,17.4744898,25.73248408
60070,1.312910284,1.232032854,1.785714286,2.204408818,3.790983607,6.448412698
60071,0.657894737,1.260504202,1.446280992,2.424242424,3.469387755,3.904555315
60072,3.546099291,3.816793893,4.580152672,3.90625,4.724409449,5.303030303
60073,0.457038391,0.668103448,0.957035227,1.262327416,2.302888368,3.719954216
60074,1.003344482,1.157098353,1.777199827,2.401010952,3.513971211,6.44361834
60076,2.307692308,3.514180025,4.131355932,5.29290853,8.068854223,12.04437401
60077,1.386748844,2.040816327,3.392130258,4.8070413,6.952247191,12.10061183
60081,0.721732157,1.022012579,1.410658307,1.451612903,2.190395956,3.525365434
60083,2.06185567,2.659574468,3.608247423,5.036726128,6.465517241,8.775731311
60084,0.759493671,1.772002363,2.14084507,2.518186905,3.421828909,4.976303318
60085,0.239635754,0.328875247,0.549562386,0.6503443,0.8698871,1.279130892
60087,0.208877285,0.430210325,0.688389169,0.989653621,1.387684302,2.017167382
60088,0,0.67264574,0.223713647,0.238095238,0.480769231,0.771208226
60089,2.331496397,4.365400162,6.755695208,9.033530572,12.5,19.37864078
60090,0.796812749,1.460446247,1.911544228,2.725914862,4.394299287,7.507621951
60091,6.512890095,9.143593046,13.28320802,17.44966443,23.2079906,30.56478405
60093,8.62170088,11.01694915,13.70786517,17.67264818,22.04595186,29.9734748
60096,0.138888889,0.264900662,0.378310214,0.386597938,1.312335958,1.591511936
60097,0.543970988,0.67001675,0.78125,0.909090909,1.206636501,1.547987616
60098,0.581583199,0.925925926,1.03030303,1.534757749,2.359791603,3.522205207
60099,0.096781999,0.140318054,0.271985494,0.447027269,0.570425625,0.918836141
60101,0.852459016,1.32970686,1.618122977,2.087561612,2.825888788,4.425304425
60102,0.6503443,1.240875912,1.981981982,2.501812908,3.818794459,6.409295352
60103,0.957411687,2.010210593,3.229813665,4.304429195,6.946222791,10.30474395
60104,0,0,0.125234815,0.12070006,0.412735849,0.970873786
60106,0.397050482,0.47897818,0.557244174,0.851276915,1.635883905,3.217299578
60107,0.699013158,1.347190146,2.145763966,3.002894356,4.624688723,8.021753909
60108,2.097470697,2.82902829,3.839338452,5.359246172,7.851491175,12.13592233
60110,0.388198758,0.575539568,1.115241636,1.60708429,2.312881465,3.006576887
60118,0.953079179,1.467505241,2.226588081,2.91639663,4.684317719,6.737825217
