zipcode,SQMI,x,y,Pct_EV,Cport_den,Sex_ratio,Pct_30_60,Pct_60,Pct_bachelor,Med_incm_family,Ln_pop_den,Pking_den,Num_veh_hd,Num_wk_hd,Road_den,Pct_white,ev_cnt,FuelV_cnt,CS_cnt,CPort_cnt,FuelS_cnt,Pop,Pop_male,Pop_female,num_bachelor,pk_SQMI_cnt,pk_SQMI_sum,len_mile_cnt,len_mile_sum,year
60160,4.432024,-87.86315073,41.90301279,0.897363993,1.128152736,106.9,40.4,15.2,8.3566668,58719,8.651954,2.05502,1.7973,1.3427,17.772787,50.66,16,1767,3,5,4,25357,13099,12258,2119,21,0.091079,413,78.769418,2020
60162,3.278133,-87.90244145,41.86739061,1.317365269,4.499730356,97.6,38.9,23.4,16.72086043,76131,7.799423,2.429432,1.7757,1.2145,17.754707,32.87,11,824,,,4,7996,3949,4047,1337,30,0.07964,310,58.20229,2020
60163,1.426138,-87.9114224,41.88925327,0.925925926,4.499730356,114.8,39.1,23.3,13.09312857,72051,8.1779,0.739129,2.063,1.2817,22.07137,41.31,4,428,,,1,5079,2715,2364,665,15,0.010541,139,31.47682,2020
60164,4.614067,-87.90033461,41.91789496,0.661157025,4.499730356,103.5,40.9,19.5,9.97632576,74496,8.428866,0.130817,1.8952,1.3224,17.646008,66.15,12,1803,,,3,21120,10741,10379,2107,8,0.006036,437,81.419864,2020
60165,0.351834,-87.8804257,41.9032683,0.289017341,4.499730356,101.2,44.8,9.1,3.07724081,46944,9.529679,0.713973,1.9407,1.5785,39.54233,40.36,1,345,,,0,4842,2436,2406,149,3,0.002512,80,13.912336,2020
60169,8.930768,-88.12294969,42.05226,3.794642857,0.447889812,95.2,40.3,17.7,30.28466317,84510,8.219658,1.76734,1.848,1.4128,14.507012,50.69,68,1724,3,4,4,33162,16173,16989,10043,95,0.157837,589,129.558759,2020
60171,2.237611,-87.83877466,41.92469734,1.140684411,0.893810408,89.7,43.4,21,13.33735061,74795,8.400622,2.727507,1.7924,1.2913,15.03013,82.93,9,780,1,2,2,9957,4708,5249,1328,25,0.061031,198,33.631585,2020
60172,8.040275,-88.09593843,41.97688086,3.252427184,0.497495421,87.6,41.9,22.1,27.70884342,107049,8.005379,0.682253,1.9312,1.394,14.095896,81.64,67,1993,1,4,6,24097,11249,12848,6677,18,0.054855,574,113.334881,2020
60173,7.382952,-88.04871358,42.0511912,6.002728513,1.896260466,96.6,47.3,14.1,53.76020287,113868,7.443785,6.530247,1.523,1.2311,14.421032,42.53,88,1378,5,14,5,12619,6199,6420,6784,137,0.482125,707,106.469789,2020
60174,14.646157,-88.29885313,41.92742294,3.658969805,0.409663777,92.8,40,23,34.90063645,110363,7.650962,1.09202,1.9724,1.3003,12.834632,86.16,103,2712,4,6,5,30796,14824,15972,10748,155,0.159939,844,187.978037,2020
60175,34.647788,-88.39207891,41.94726238,5.146096816,0.057723743,105.9,40.2,21.2,36.12698413,167644,6.64999,0.376766,2.4042,1.4451,7.132786,89.34,118,2175,1,2,3,26775,13771,13004,9673,85,0.130541,839,247.135264,2020
60176,2.662385,-87.86910755,41.95807918,1.417769376,2.629221544,113.3,43.3,22.4,19.80172189,72034,8.370793,0.983216,1.8231,1.2777,18.656889,78.78,15,1043,3,7,10,11499,6107,5392,2277,28,0.026177,253,49.671822,2020
